trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,key_resp.corr,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,19,18,up,0.005,db,0.05014411887254919,1,0.0008586400072090328,60.13830656200298,2.003303303004941,60.438784819998546,0,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,20,19,up,0.005,db,0.050172992457391936,0,0.001121549983508885,62.861980576999485,2.002555602986831,63.1627316820086,1,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,21,20,up,0.005,db,0.050172992457391936,1,0.0006571999983862042,65.38553793201572,2.0040854169928934,65.68621495200205,1,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,22,21,up,0.005,db,0.050172992457391936,1,0.0005565239989664406,67.8252505499986,2.004791646002559,68.12551963599981,1,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,23,22,down,0.005,db,0.05014411887254919,1,0.0005228800000622869,70.26516113200341,2.0048208290245384,70.56619414701709,0,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,24,23,up,0.005,db,0.050172992457391936,0,0.0005806630069855601,72.68825957999798,2.003432906989474,72.98915266001131,1,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,25,24,up,0.005,db,0.050172992457391936,1,0.000467814999865368,75.09460583201144,2.004452907014638,75.39560573201743,1,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,26,25,up,0.005,db,0.050172992457391936,1,0.0006749400054104626,77.51737078500446,2.0028659210074693,77.81866078500752,0,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,27,26,up,0.005,db,0.05020188266799101,0,0.0005659850139636546,79.90742150199367,2.004494255001191,80.20784253199236,1,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,28,27,up,0.005,db,0.05020188266799101,1,0.0008297220047097653,82.2803447000042,2.0033344099938404,82.58114349000971,0,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,29,28,up,0.005,db,0.05023078951391973,0,0.0006199729978106916,84.68702604001737,2.0038340399914887,84.98771139499149,1,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,30,29,up,0.005,db,0.05023078951391973,1,0.000497710017953068,87.10993155799224,2.004733629000839,87.41101443499792,1,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,31,30,up,0.005,db,0.05023078951391973,1,0.0005842539831064641,89.6334725380002,2.004744039993966,89.93442487501306,1,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,32,31,down,0.005,db,0.05020188266799101,1,0.000434596004197374,92.12343626699294,2.004257285996573,92.42404126701877,1,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,33,32,down,0.005,db,0.05020188266799101,1,0.0006824270240031183,94.68023508199258,2.0025548500125296,94.98103403000277,1,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,34,33,down,0.005,db,0.05020188266799101,1,0.0009747800067998469,97.15320479101501,2.0020769289985765,97.45461784501094,0,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,35,34,up,0.005,db,0.05023078951391973,0,0.0005771040159743279,99.87725093201152,2.0031243019911926,100.17836776000331,0,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,36,35,up,0.005,db,0.05025971300475691,0,0.0006808670004829764,102.35091989999637,2.003512277005939,102.65158768001129,0,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,37,36,up,0.005,db,0.05028865315008688,0,0.0005770989810116589,104.75664962199517,2.003917959984392,105.05774126999313,1,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,38,37,up,0.005,db,0.05028865315008688,1,0.0004588229930959642,107.18004698399454,2.004572600009851,107.481246595009,1,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,39,38,up,0.005,db,0.05028865315008688,1,0.000917545985430479,109.60356759501155,2.0038251240039244,109.90408718501567,0,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,40,39,up,0.005,db,0.050317609959499514,0,0.000570013013202697,112.04287306801416,2.003994441998657,112.344219540013,1,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,41,40,up,0.005,db,0.050317609959499514,1,0.0004672379873227328,114.44951965200016,2.004321896994952,114.75058414999512,0,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,42,41,up,0.005,db,0.05034658344259018,0,0.0012920800072606653,116.80555052100681,2.00189413499902,117.10675960200024,0,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,43,42,up,0.005,db,0.05037557360895978,0,0.0005447760049719363,119.19521284100483,2.003954743006034,119.49655385001097,1,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,44,43,up,0.005,db,0.05037557360895978,1,0.0007133249891921878,121.53533074000734,2.004051397991134,121.83614513001521,1,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,45,44,up,0.005,db,0.05037557360895978,1,0.0006614170270040631,124.20876352500636,2.0035356910084374,124.51012526199338,0,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,46,45,up,0.005,db,0.05040458046821475,0,0.0007014500151854008,126.74907186199562,2.0035149969917256,127.04947682199418,0,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,47,46,up,0.005,db,0.05043360402996705,0,0.0005728160031139851,129.18905964199803,2.004304710018914,129.4902412520023,0,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,48,47,up,0.005,db,0.05046264430383418,0,0.0004662209830712527,131.54549698499613,2.0050722709856927,131.8463839169999,0,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,49,48,up,0.005,db,0.05049170129943918,0,0.000682176003465429,134.1687283620122,2.003373066021595,134.4702477120154,1,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,50,49,up,0.005,db,0.05049170129943918,1,0.0009806070011109114,136.49178173200926,2.0024500750005245,136.79284820199246,0,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,51,50,up,0.005,db,0.05052077502641063,0,0.0005548509943764657,138.9315615380183,2.0045099479903,139.232747956994,0,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,52,51,up,0.005,db,0.05054986549438264,0,0.0006144369835965335,141.30493052999373,2.0044993739866186,141.60577734201797,1,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,53,52,up,0.005,db,0.05054986549438264,1,0.0005644699849653989,143.6278228200099,2.0049303459818475,143.92880702999537,0,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,54,53,up,0.005,db,0.050578972712994885,0,0.0005742020148318261,146.03392188000726,2.0042708620021585,146.33465792500647,1,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,55,54,up,0.005,db,0.050578972712994885,1,0.0008085700101219118,148.3570566700073,2.0035574049979914,148.65783382501104,0,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,56,55,up,0.005,db,0.05060809669189258,0,0.0005840410012751818,150.8303705250146,2.00477263101493,151.13073725701543,1,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,57,56,up,0.005,db,0.05060809669189258,1,0.0010641049884725362,153.1198170669959,2.0030405420111492,153.4206121470197,1,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,58,57,up,0.005,db,0.05060809669189258,1,0.0004962840175721794,155.57636992199696,2.0049300770042464,155.8770792169962,0,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,59,58,up,0.005,db,0.050637237440726506,0,0.0008644949994049966,158.01618579000933,2.002138419979019,158.3168832170195,0,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,60,59,up,0.005,db,0.05066639496915299,0,0.0005625199992209673,160.50563976401463,2.003833080001641,160.80686490199878,1,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,61,60,up,0.005,db,0.05066639496915299,1,0.0008244859927799553,162.8451962649997,2.0038210549973883,163.1469428820128,1,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,62,61,up,0.005,db,0.05066639496915299,1,0.0005515379889402539,165.20199172000866,2.0044044189853594,165.50305032701,0,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,63,62,up,0.005,db,0.05069556928683392,0,0.000542355002835393,167.60797407801147,2.004158855008427,167.90870661701774,1,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,64,63,up,0.005,db,0.05069556928683392,1,0.0004581600078381598,169.96470194199355,2.005105571995955,170.26537472000928,1,347086,001,2022-09-07_23h00.22.437,Chanda Mandhani_Lab Experiment,2022.2.2,59.800740344824625,
